id,realTimePosition,name,lastName,gender,age,country,business category ,company name,worth,worthChange,image,Rank,Population, % of World Population,Date,Source
6670,576,Jerry speyer,Speyer,M,78,United States,Real Estate ,real estate,3.9 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59d7fdd831358e542c036ecf/416x416.jpg?background=000000&cropX1=169&cropX2=1611&cropY1=40&cropY2=1483,3,"329,196,803",4.24%,17 Jan 2020,National population clock
6659,600,Jeff greene,Greene,None,63,United States,Real Estate ,"real estate, investments",3.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/4f11bbb61e2f6e54d13d5d8d64b6af1a/416x416.jpg?background=000000&cropX1=5&cropX2=731&cropY1=61&cropY2=788,3,"329,196,803",4.24%,17 Jan 2020,National population clock
5241,602,Robert mcnair,Mcnair,M,81,United States,Sports ,"energy, sports",3.8 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8dda8ba7ea431690140c29/416x416.jpg?background=000000&cropX1=217&cropX2=2655&cropY1=249&cropY2=2686,3,"329,196,803",4.24%,17 Jan 2020,National population clock
1036,506,Nick caporella,Caporella,M,82,United States,Food and Beverage ,beverages,3.7 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8dd4c6a7ea431690140b00/416x416.jpg?background=000000&cropX1=403&cropX2=1131&cropY1=270&cropY2=999,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8059,608,Mark cuban,Cuban,M,59,United States,Media & Entertainment ,online media,3.7 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbe47b31358e542c038283/416x416.jpg?background=000000&cropX1=720&cropX2=1325&cropY1=189&cropY2=793,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8311,671,Imogene powers johnson,Johnson,F,87,United States,Manufacturing ,cleaning products,3.7 BUSD,nan millions USD,https://specials-images.forbesimg.com/imageserve/f73950e018838a51ba68a5432c2b1111/416x416.jpg?background=000000&cropX1=0&cropX2=394&cropY1=103&cropY2=497,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3898,605,Rodger riney,Riney,M,72,United States,Finance and Investments ,discount brokerage,3.6 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbdb144bbe6f37dda03642/416x416.jpg?background=000000&cropX1=1016&cropX2=2276&cropY1=43&cropY2=1304,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7729,580,Douglas leone,Leone,M,60,United States,Finance and Investments ,venture capital,3.5 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbe96a31358e542c0382f6/416x416.jpg?background=000000&cropX1=227&cropX2=3304&cropY1=600&cropY2=3678,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2398,739,"Stephen bechtel, jr.",Bechtel,None,93,United States,Construction & Engineering ,"engineering, construction",3.4 BUSD,0.0 millions USD,https:http://specials-images.forbesimg.com/imageserve/57f2a847a7ea435a1e1f60fd/416x416.jpg?background=000000&cropX1=29&cropX2=734&cropY1=52&cropY2=758,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4892,640,Jimmy haslam,Haslam,None,64,United States,Fashion & Retail ,"gas stations, retail",3.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a8dd9654bbe6f2652f627b6/416x416.jpg?background=000000&cropX1=51&cropX2=2700&cropY1=108&cropY2=2757,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2568,707,Min kao,Kao,M,69,United States,Technology ,navigation equipment,3.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/2fa78ea6d7b94752e196e514f98f2b32/416x416.jpg?background=000000&cropX1=215&cropX2=478&cropY1=121&cropY2=384,3,"329,196,803",4.24%,17 Jan 2020,National population clock
2459,805,Steve wynn,Wynn,None,76,United States,Gambling & Casinos ,"casinos, hotels",3.4 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbef824bbe6f37dda038b6/416x416.jpg?background=000000&cropX1=800&cropX2=3166&cropY1=120&cropY2=2487,3,"329,196,803",4.24%,17 Jan 2020,National population clock
7043,737,"Amos hostetter, jr.",Hostetter,None,81,United States,Media & Entertainment ,cable television,3.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/5a82140aa7ea4316901357de/416x416.jpg?background=000000&cropX1=0&cropX2=1205&cropY1=546&cropY2=1752,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8916,710,George lindemann,Lindemann,None,82,United States,Finance and Investments ,investments,3.3 BUSD,-0.001 millions USD,https:http://specials-images.forbesimg.com/imageserve/67c70c6aef6863d196e8a34b8300eeaa/416x416.jpg?background=000000&cropX1=69&cropX2=705&cropY1=39&cropY2=676,3,"329,196,803",4.24%,17 Jan 2020,National population clock
8138,822,Mary alice dorrance malone,Malone,F,68,United States,Food and Beverage ,Campbell Soup,3.3 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/589d28c431358e1a35ab0bb8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=185&cropY2=929,3,"329,196,803",4.24%,17 Jan 2020,National population clock
3327,722,Neil bluhm,Bluhm,M,80,United States,Real Estate ,real estate,3.2 BUSD,0.0 millions USD,https://specials-images.forbesimg.com/imageserve/59dbe3c431358e542c038278/416x416.jpg?background=000000&cropX1=262&cropX2=1248&cropY1=413&cropY2=1399,3,"329,196,803",4.24%,17 Jan 2020,National population clock
4813,589,Scott cook,Cook,M,65,United States,Technology ,software,3.2 BUSD,-0.001 millions USD,https://specials-images.forbesimg.com/imageserve/59dd1e83a7ea436b47b3ab4a/416x416.jpg?background=000000&cropX1=321&cropX2=2641&cropY1=68&cropY2=2387,3,"329,196,803",4.24%,17 Jan 2020,National population clock
